"Year","ConditionID","Validity","SelectionRatio","Turnover","FirePerc","Reliability","Mean","SD"
10,3,0.3,0.1,0,0.1,0.5,0.00346725189127769,0.102952111676049
11,3,0.3,0.1,0,0.1,0.5,0.00346725189127769,0.102952111676049
12,3,0.3,0.1,0,0.1,0.5,0.00346725189127769,0.102952111676049
13,3,0.3,0.1,0,0.1,0.5,0.00346725189127769,0.102952111676049
14,3,0.3,0.1,0,0.1,0.5,0.00346725189127769,0.102952111676049
15,3,0.3,0.1,0,0.1,0.5,0.00346725189127769,0.102952111676049
16,3,0.3,0.1,0,0.1,0.5,0.00346725189127769,0.102952111676049
17,3,0.3,0.1,0,0.1,0.5,0.00346725189127769,0.102952111676049
18,3,0.3,0.1,0,0.1,0.5,0.00346725189127769,0.102952111676049
19,3,0.3,0.1,0,0.1,0.5,0.00346725189127769,0.102952111676049
20,3,0.3,0.1,0,0.1,0.5,0.00346725189127769,0.102952111676049
21,3,0.3,0.1,0,0.1,0.5,0.00346725189127769,0.102952111676049
22,3,0.3,0.1,0,0.1,0.5,0.00346725189127769,0.102952111676049
23,3,0.3,0.1,0,0.1,0.5,0.00346725189127769,0.102952111676049
24,3,0.3,0.1,0,0.1,0.5,0.00346725189127769,0.102952111676049
25,3,0.3,0.1,0,0.1,0.5,0.00346725189127769,0.102952111676049
26,3,0.3,0.1,0,0.1,0.5,0.00346725189127769,0.102952111676049
27,3,0.3,0.1,0,0.1,0.5,0.00346725189127769,0.102952111676049
28,3,0.3,0.1,0,0.1,0.5,0.00346725189127769,0.102952111676049
29,3,0.3,0.1,0,0.1,0.5,0.00346725189127769,0.102952111676049
30,3,0.3,0.1,0,0.1,0.5,0.00346725189127769,0.102952111676049
1,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
2,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
3,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
4,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
5,4,0.3,0.1,0,0.1,0.7,-0.0124586051007571,0.101985822381006
